month,trades,wins,losses,win_rate_pct,profit_factor,expectancy_usd,net_pnl,max_drawdown_pct,total_fees,n_bars
2023-01,176,34,142,19.32,0.1683,-21.75,-3828.5,3.828,3537.8,8800
2023-02,166,41,125,24.7,0.1886,-21.39,-3551.26,3.551,3366.79,8160
2023-03,186,55,131,29.57,0.2982,-19.84,-3689.31,3.734,3726.51,8841
2023-04,182,29,153,15.93,0.082,-21.36,-3888.04,3.888,3692.16,8600
2023-05,180,25,155,13.89,0.089,-21.65,-3897.16,3.897,3643.39,9000
2023-06,170,23,147,13.53,0.0656,-21.74,-3696.21,3.696,3448.43,8600
2023-07,176,17,159,9.66,0.0359,-23.43,-4122.85,4.123,3561.02,9000
2023-08,145,13,132,8.97,0.0637,-20.24,-2935.4,2.935,2866.34,8920
2023-09,179,20,159,11.17,0.0521,-19.95,-3571.28,3.571,3571.92,8681
2023-10,206,27,179,13.11,0.0637,-22.45,-4623.67,4.624,4132.59,8800
2023-11,212,35,177,16.51,0.0791,-20.97,-4445.06,4.449,4278.15,8760
2023-12,203,37,166,18.23,0.0811,-25.32,-5139.68,5.14,4162.38,8841
2024-01,153,38,115,24.84,0.172,-25.46,-3894.86,3.895,3152.44,9000
2024-02,184,44,140,23.91,0.1353,-25.43,-4678.28,4.678,3771.82,8400
2024-03,188,69,119,36.7,0.3695,-20.97,-3941.73,3.945,3790.16,8801
2024-04,158,49,109,31.01,0.2619,-18.42,-2910.57,3.091,3153.21,8640
2024-05,181,53,128,29.28,0.2426,-20.01,-3622.24,3.688,3653.35,8961
2024-06,216,31,185,14.35,0.0498,-24.19,-5225.38,5.225,4364.03,8600
2024-07,239,42,197,17.57,0.089,-25.55,-6105.85,6.106,4837.4,9000
2024-08,193,59,134,30.57,0.2089,-22.58,-4357.33,4.357,3886.92,8960
2024-09,217,55,162,25.35,0.1772,-19.77,-4290.12,4.29,4351.37,8641
2024-10,197,35,162,17.77,0.1152,-21.32,-4200.19,4.205,3983.35,8800
2024-11,246,71,175,28.86,0.204,-24.23,-5961.7,5.962,4940.01,8800
2024-12,226,57,169,25.22,0.2229,-24.74,-5590.37,5.59,4599.41,8801
2025-01,238,63,175,26.47,0.1622,-25.0,-5949.06,6.01,4770.99,9000
2025-02,198,62,136,31.31,0.2997,-21.13,-4182.77,4.237,3975.19,8000
2025-03,200,70,130,35.0,0.2765,-20.07,-4013.53,4.094,4030.02,9000
2025-04,221,62,159,28.05,0.2304,-24.84,-5490.29,5.528,4462.37,8600
2025-05,243,82,161,33.74,0.252,-21.9,-5322.87,5.323,4858.17,9000
2025-06,251,57,194,22.71,0.1126,-25.3,-6349.22,6.349,5066.28,8600
2025-07,284,75,209,26.41,0.182,-22.13,-6284.3,6.284,5695.39,8920
2025-08,302,77,225,25.5,0.1522,-25.14,-7592.19,7.592,6069.48,8881
2025-09,244,45,199,18.44,0.115,-22.16,-5407.67,5.41,4911.22,8600
2025-10,271,76,195,28.04,0.2272,-21.91,-5936.86,5.937,5402.21,9000
2025-11,271,80,191,29.52,0.2008,-25.62,-6941.79,6.942,5416.82,8600
2025-12,288,71,217,24.65,0.1885,-20.92,-6023.88,6.046,5786.74,9000
2026-01,287,58,229,20.21,0.1109,-24.98,-7169.7,7.173,5796.87,8880
2026-02,282,108,174,38.3,0.3194,-22.36,-6305.85,6.307,5627.31,8121
2026-03,281,73,208,25.98,0.1496,-25.35,-7123.01,7.123,5636.57,8840
2026-04,286,67,219,23.43,0.1052,-22.99,-6576.45,6.578,5734.03,10210
2026-05,1199,183,1016,15.26,0.0711,-19.37,-23223.67,23.224,21732.9,42530
