trade_num,entry_time,symbol,side,entry_price,exit_price,size,gross_pnl,fees,net_pnl,exit_reason,atr,rel_vol,range_expansion,spread_regime,buy_sell_imbalance,momentum_5m,vwap_deviation,breakout_dist_r,imbalance_strength,momentum_abs,signal_score,quintile,mfe_r,mae_r
3,2026-05-29 14:09,BTCUSDT,short,72865.89625,72947.848844,0.274,-22.455,23.9718,-46.4268,STOP_HIT,51.5,3.8114,2.3573,0.0032,0.4489,-0.001312,-0.000762,1.8273,0.1022,0.001312,46.32,3,0.0,1.882
3,2026-05-29 14:07,ETHUSDT,short,1995.4846249999998,1993.014107,10.02,24.7546,14.9922,9.7624,FORCE_CLOSE,2.167143,1.91,1.7996,0.0047,0.1976,-0.00023,-0.000291,0.0,0.6048,0.00023,40.0,4,2.028,0.238
4,2026-05-29 14:52,BTCUSDT,long,73022.970625,73062.410312,0.273,10.767,19.9374,-9.1704,STOP_HIT,83.25,11.6629,3.2733,0.0054,0.841,0.000739,0.001259,2.2099,0.682,0.000739,64.21,1,1.093,1.691
5,2026-05-29 14:58,BTCUSDT,long,73122.482125,72983.594643,0.273,-37.9163,23.9322,-61.8485,STOP_HIT,87.278571,4.2384,1.7851,0.0019,0.6399,0.003184,0.000478,0.0972,0.2798,0.003184,54.74,2,0.186,1.686
7,2026-05-29 15:05,BTCUSDT,long,73291.98025,73320.895062,0.272,7.8648,17.9434,-10.0786,STOP_HIT,30.1,13.7882,5.0266,0.0037,0.7088,0.005411,0.000618,4.4179,0.4176,0.005411,77.89,1,8.788,0.448
9,2026-05-29 15:10,BTCUSDT,long,73638.72425,73673.233554,0.271,9.352,19.958,-10.6059,STOP_HIT,72.842857,3.2742,2.1265,0.0015,0.5636,0.008493,0.000474,1.1288,0.1272,0.008493,55.79,2,1.226,1.493
10,2026-05-29 15:16,ETHUSDT,long,2022.2751625,2019.693826,9.88,-25.5036,23.9608,-49.4644,STOP_HIT,1.622143,5.0351,4.8701,0.0146,0.6605,0.009005,-0.000587,0.3053,0.321,0.009005,57.89,2,0.0,5.41
13,2026-05-29 15:34,BTCUSDT,long,74011.83475,74032.903089,0.27,5.6885,19.9843,-14.2959,STOP_HIT,44.471429,11.1333,4.142,0.0073,0.7239,0.00093,0.000633,3.3872,0.4478,0.00093,57.89,2,3.284,1.93
15,2026-05-29 16:11,ETHUSDT,long,2035.9560374999999,2037.713295,9.81,17.2387,17.9789,-0.7402,STOP_HIT,1.829286,2.2736,1.7439,0.0055,0.6617,0.001355,0.000501,1.2606,0.3234,0.001355,36.84,4,2.205,1.036
15,2026-05-29 16:12,BTCUSDT,long,73952.061375,73862.299983,0.27,-24.2356,23.9459,-48.1815,STOP_HIT,56.407143,1.5468,0.8332,0.0018,0.6491,0.000322,9.1e-05,0.1287,0.2982,0.000322,28.42,5,0.0,4.282
17,2026-05-29 16:25,BTCUSDT,short,73598.050125,73564.201817,0.271,9.1729,17.9487,-8.7758,STOP_HIT,34.65,1.6268,1.7835,0.0029,0.2627,-0.004233,-0.00024,0.0,0.4746,0.004233,50.53,3,2.668,0.954
17,2026-05-29 16:25,ETHUSDT,short,2023.1641875,2022.028879,9.87,11.2055,19.9664,-8.7609,STOP_HIT,2.396429,2.5377,1.5064,0.0042,0.1643,-0.000873,-0.000364,0.8662,0.6714,0.000873,43.16,4,0.949,0.674
18,2026-05-29 17:04,ETHUSDT,short,2034.1705125,2033.814185,9.81,3.4956,19.9545,-16.4589,STOP_HIT,0.802857,2.7868,2.3541,0.013,0.377,-5.4e-05,-0.00011,0.0,0.246,5.4e-05,24.21,5,1.807,1.332
19,2026-05-29 20:21,ETHUSDT,long,2020.064775,2021.432979,9.9,13.5452,18.0015,-4.4563,STOP_HIT,1.290714,1.7153,1.4023,0.0077,0.596,0.000124,0.000684,0.0579,0.192,0.000124,14.74,5,2.429,0.507
20,2026-05-29 20:54,ETHUSDT,short,2017.2192375,2016.473381,9.91,7.3914,17.9901,-10.5987,STOP_HIT,0.869286,2.5195,1.6795,0.0117,0.2278,-0.00152,-0.000516,0.0,0.5444,0.00152,35.79,4,2.357,1.22
21,2026-05-29 21:51,ETHUSDT,short,2007.8832875,2009.905391,9.95,-20.1199,23.9862,-44.1061,STOP_HIT,1.270714,8.6819,2.5812,0.0079,0.3534,-0.001669,-0.000161,1.2172,0.2932,0.001669,51.58,3,0.0,2.437
22,2026-05-29 22:21,ETHUSDT,long,2015.3906749999999,2015.938195,9.91,5.4259,19.9736,-14.5477,STOP_HIT,1.155714,12.8133,2.6996,0.0087,0.9054,0.002236,0.000136,2.3714,0.8108,0.002236,67.37,1,0.96,1.878
23,2026-05-29 23:14,ETHUSDT,short,2009.7286749999998,2011.890587,9.94,-21.4894,23.9849,-45.4743,STOP_HIT,1.358571,41.7039,2.1493,0.0084,0.0896,-0.001108,0.00054,0.266,0.8208,0.001108,61.05,1,1.022,1.775
24,2026-05-29 23:54,ETHUSDT,long,2012.9314625,2013.486088,9.92,5.5019,19.9694,-14.4675,STOP_HIT,1.170714,3.9347,2.3234,0.0085,0.7537,0.002068,-0.000443,0.4454,0.5074,0.002068,51.58,3,1.741,0.779
