trade_id,timestamp,symbol,side,entry_price,exit_price,size,gross_pnl,entry_fee,exit_fees,total_fees,net_pnl,exit_reason,partial_tp_count,maker_attempted,maker_filled,holding_bars,journal_net_pnl,pnl_match,fee_double_charged
3,2026-05-29 14:09:00,BTCUSDT,short,72865.8963,72947.8488,0.274,-22.455,11.9792,11.9926,23.9718,-46.4268,STOP,0,0,0,0,-46.4268,True,False
2,2026-05-29 14:07:00,ETHUSDT,short,1995.4846,1993.0141,10.02,24.7546,11.9969,2.9953,14.9922,9.7624,FORCE_CLOSE,2,0,0,0,6.7664,False,True
4,2026-05-29 14:52:00,BTCUSDT,long,73022.9706,73062.4103,0.273,10.767,11.9612,7.9763,19.9374,-9.1704,STOP,1,0,0,0,-9.1704,True,True
5,2026-05-29 14:58:00,BTCUSDT,long,73122.4821,72983.5946,0.273,-37.9163,11.9775,11.9547,23.9322,-61.8485,STOP,0,0,0,0,-61.8485,True,False
6,2026-05-29 15:05:00,BTCUSDT,long,73291.9802,73320.8951,0.272,7.8648,11.9613,5.9822,17.9434,-10.0786,STOP,2,0,0,0,-10.0786,True,True
9,2026-05-29 15:10:00,BTCUSDT,long,73638.7242,73673.2336,0.271,9.352,11.9737,7.9843,19.958,-10.6059,STOP,1,0,0,0,-10.6059,True,True
10,2026-05-29 15:16:00,ETHUSDT,long,2022.2752,2019.6938,9.88,-25.5036,11.988,11.9727,23.9608,-49.4644,STOP,0,0,0,0,-49.4644,True,False
13,2026-05-29 15:34:00,BTCUSDT,long,74011.8347,74032.9031,0.27,5.6885,11.9899,7.9944,19.9843,-14.2959,STOP,1,0,0,0,-14.2959,True,True
14,2026-05-29 16:11:00,ETHUSDT,long,2035.956,2037.7133,9.81,17.2387,11.9836,5.9953,17.9789,-0.7402,STOP,2,0,0,0,-0.7402,True,True
15,2026-05-29 16:12:00,BTCUSDT,long,73952.0614,73862.3,0.27,-24.2356,11.9802,11.9657,23.9459,-48.1815,STOP,0,0,0,0,-48.1815,True,False
17,2026-05-29 16:25:00,BTCUSDT,short,73598.0501,73564.2018,0.271,9.1729,11.967,5.9817,17.9487,-8.7758,STOP,2,0,0,0,-8.7758,True,True
16,2026-05-29 16:25:00,ETHUSDT,short,2023.1642,2022.0289,9.87,11.2055,11.9812,7.9852,19.9664,-8.7609,STOP,1,0,0,0,-8.7609,True,True
18,2026-05-29 17:04:00,ETHUSDT,short,2034.1705,2033.8142,9.81,3.4956,11.9731,7.9814,19.9545,-16.4589,STOP,1,0,0,0,-16.4589,True,True
19,2026-05-29 20:21:00,ETHUSDT,long,2020.0648,2021.433,9.9,13.5452,11.9992,6.0023,18.0015,-4.4563,STOP,2,0,2,0,-4.4563,True,True
20,2026-05-29 20:54:00,ETHUSDT,short,2017.2192,2016.4734,9.91,7.3914,11.9944,5.9957,17.9901,-10.5987,STOP,2,0,2,0,-10.5987,True,True
21,2026-05-29 21:51:00,ETHUSDT,short,2007.8833,2009.9054,9.95,-20.1199,11.9871,11.9991,23.9862,-44.1061,STOP,0,0,0,0,-44.1061,True,False
22,2026-05-29 22:21:00,ETHUSDT,long,2015.3907,2015.9382,9.91,5.4259,11.9835,7.9901,19.9736,-14.5477,STOP,1,0,1,0,-14.5477,True,True
23,2026-05-29 23:14:00,ETHUSDT,short,2009.7287,2011.8906,9.94,-21.4894,11.986,11.9989,23.9849,-45.4743,STOP,0,0,0,0,-45.4743,True,False
24,2026-05-29 23:54:00,ETHUSDT,long,2012.9315,2013.4861,9.92,5.5019,11.981,7.9884,19.9694,-14.4675,STOP,1,0,1,0,-14.4675,True,True
